system,user (input),assistant (output)
You are Miricle's Presentation slide explainer,"### 후기
---
## 이용 만족도 4.1 / 5점
---
* 대한민국 1등 미리키친은 이용 후기 개수 대비 별점이 가장 높습니다
---
미리점 미리떡볶이  
김○님  
---
### 부족한 부분을 개선할 수 있었어요 
---
창업 초보자로서 창업 레벨별 맞춤형 교육(오픈, 발전, 확장)을 차례로 듣고 선배들에게 자문을 받으니 자연스럽게 자극도 받고 개선할 수 있었어요.
---
미리점 미리가페  
박○님  
---
### 한달만에 맛집 랭킹 입성완료!  
---
창업은 리스크가 커서 두려웠는데 미리키친에서 위협 없이 나만의 시장에 도전할 수 있어 매우 만족하고 있으며 한달만에 맛집 랭킹 임성을 할 수 있었습니다.
---
미리점 미리국수  
장○님  
---
### 3개의 지점을 더 확장했어요  
---
미리키친 전문 매니저님의 데이터 기반 컨설팅을 비롯한 여러가지 도움으로 오픈한 지 1년도 채 되지 않아 목표 매출을 달성하고 3개의 지점을 확장했어요.
---
### 200+개의 브랜드가 선택한 미리키친
---
## 그 외 한줄 후기!
---
5개 지점으로 확장하였습니다.
---
미리점 미리음식점 장○님
---
컨설팅 덕분에 단 2주만에 매장을 오픈 했어요.
---
미리점 미리음식점 남○○님
---
이웃 매장과 교류하여 정보를 공유했어요!
---
미리점 미리음식점 박○님
---
리스크 없이 장사에 도전할 수 있었어요. 
---
미리점 미리음식점 김○○님
---
목표 매출이었던 월 매출 5천만 원 달성했어요! 
---
미리점 미리음식점 이○○님
---
### | MIRI SERVICE GUIDE
---
### Review","{descriptive_summary: ""This slide is a user review introduction page that emphasizes brand reliability by collecting three representative long reviews and a short one-line review along with the satisfaction ratings of 미리키친 users."", grid_size: [{ rows:1, cols:3 }]}"
You are Miricle's Presentation slide explainer,"# 타이틀을 입력해주세요
---
서브 타이틀을 입력해주세요
---
내용을 입력해주세요. 폰트는 Noto Sans CJK KR Regular입니다. 폰트 크기는 18pt입니다. 행간은 1.45로 맞춰 설정해주시면 좋습니다.  
내용을 입력해주세요. 폰트는 Noto Sans CJK KR Regular입니다. 폰트 크기는 18pt입니다. 행간은 1.45로 맞춰 설정해주시면 좋습니다.
---
45%
---
### 키워드 01
---
내용을 입력해주세요. 폰트는 Noto Sans CJK KR Regular입니다. 폰트 크기는 18pt입니다. 행간은 1.45로 맞춰 설정해주시면 좋습니다.
---
32%
---
### 키워드 02
---
내용을 입력해주세요. 폰트는 Noto Sans CJK KR Regular입니다. 폰트 크기는 18pt입니다. 행간은 1.45로 맞춰 설정해주시면 좋습니다.
---
23%
---
### 키워드 03
---
내용을 입력해주세요. 폰트는 Noto Sans CJK KR Regular입니다. 폰트 크기는 18pt입니다. 행간은 1.45로 맞춰 설정해주시면 좋습니다.","{descriptive_summary: ""This slide visualizes three keyword items along with corresponding explanations for each."", grid_size: [{ rows:3, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# FISHBONE INFOGRAPHIC
---
PLEASE ENTER YOUR CONTENT 
--- 
Use infographics to frame your company's story.  
---
Use infographics to frame your company's story.
---
PLEASE ENTER YOUR CONTENT  
---
Use infographics to frame your company's story.  
---
Use infographics to frame your company's story.
---
PLEASE ENTER YOUR CONTENT  
---
Use infographics to frame your company's story.  
---
Use infographics to frame your company's story.
---
PLEASE ENTER YOUR CONTENT  
---
Use infographics to frame your company's story.  
---
Use infographics to frame your company's story.
---
PLEASE ENTER YOUR CONTENT  
---
Use infographics to frame your company's story. Easy and fun to design. Please use it a lot.","{descriptive_summary: ""This slide features a fishbone-style infographic, visually categorizing key causes or ideas into 4 to 5 main items."", grid_size: [{ rows:2, cols:2 }, { rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# 미리정 오시는 길
---
00번 국도 타고 미리 IC 에서 300m 거리
가장 가까운 정류장 : 미리 호수 유원지 
---
미리정 한정식
---
### 예약 문의는 000-000-0000로 전화주세요!","{descriptive_summary: ""A slide providing directions to a restaurant, including location details, nearby stop, restaurant name, and contact number."", grid_size: [{ rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# 참고문헌
---
• Paul, M. J., & Dredze, M. (2011). You are what you tweet: Analyzing Twitter for public health. Proceedings of the International AAAI Conference on Web and Social Media (ICWSM).  
• Culotta, A. (2014). Estimating county health statistics with Twitter. Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, 1335–1344.  
• De Choudhury, M., Gamon, M., Counts, S., & Horvitz, E. (2013). Predicting depression via social media. Proceedings of the International AAAI Conference on Web and Social Media (ICWSM).  
• Park, M., McDonald, D. W., & Cha, M. (2013). Perception differences between the depressed and non-depressed users in Twitter. Proceedings of the International AAAI Conference on Web and Social Media (ICWSM).  
• Horan, C. M., Lu, N., Ti, X., Lytle, M. C., & Sitraka, V. (2014). Social structure and depression in TwitlerSpace. Proceedings of the 17th ACM Conference on Computer Supported Cooperative Work & Social Computing, 615–625.  
• Munmun, E., & Counts, S. (2014). Unveiling abstinence and relapse: Smoking cessation reflected in social media. Proceedings of the 32nd Annual ACM Conference on Human Factors in Computing Systems, 1345–1354.  
• MacLean, D., Gupta, S., Lembke, A., Manning, C., & Heer, J. (2015). Forum77: An analysis of an online health forum dedicated to addiction recovery. Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing, 1511–1526.  
• Jamison Powell, S., Linahan, C., Daley, L., Garbett, A., & Lawson, S. (2012). I can’t get no sleep: Discussing #insomnia on Twitter. Proceedings of the 2012 ACM Annual Conference on Human Factors in Computing Systems, 1501–1510.  
• Coppersmith, G., Harman, C., & Dredze, M. (2014). Measuring post traumatic stress disorder in Twitter. Proceedings of the International AAAI Conference on Web and Social Media (ICWSM).  
• Coppersmith, G., Dredze, M., Harman, C., & Hollingshead, K. (2015). From ADHD to SAD? Analyzing the language of mental health on Twitter through self reported diagnoses. Proceedings of the Workshop on Computational Linguistics and Clinical Psychology: From Linguistic Signal to Clinical Reality, NAACL, 1–10.  
• Makonen, E., Eshghiandari, L., Darko, S., et al. (2007). Suicidal behavior and associated risk factors among opioid dependent individuals: A case control study. Addiction, 102, 1933–1941.  
• Pan, C. H., Zhong, J. R., Tsai, S. Y., Lin, S. K., Chen, C. C., & Kau, C. J. (2004). Excessive suicide mortality and risk factors for suicide among patients with heroin dependence. Drug and alcohol dependence, 145, 224–230.  
• Jaafar, E. A. (2025). Drug addiction awareness discussions on social media: A corpus linguistic study in the context of sustainable development goals. Journal of Lifestyle and SIDs Review, 5(1), e05445.  
• Isaksson, T., Tomita, N., Doldi, N., Crosbie, B., & Marsch, L. A. (2019). Engagement with health apps based on deep neural networks and Instagram social media data. Neuropsychopharmacology, 44(8), 487–494.  
• Saldanha, M. R., & Oliveira, M. L. F. (2010). Influence of the family environment on individuals who use crack. Acta Paulista de Enfermagem, 26(3), 263–268. http://www.scielo.br/pdf/ape/v26n3/en_30.pdf  
• Tsui, F. R., Sitt, L., Ruiz, V., Ryan, N. D., Biemnesser, C., Iyengar, S., & Brunt, B. A. (2021). Natural language processing and machine learning of electronic health records for prediction of first time suicide attempts. JAMA Open, 4(8), eoab001.  
• United Nations Office on Drugs and Crime. (2014). World Drug Report. Vienna: United Nations Office on Drugs and Crime.  
• Chu, Y., & Chan, H.Y. (2022). Investigating substance use via Reddit: Sentence-level topic modeling. Journal of Medical Internet Research, 25, e48905.  
• Bouzoubaa, L., Aghakhani, E., Song, M., Trinh, M., & Rizouqaz, R. (2024). Decoding the narratives: Analyzing personal drug experiences shared on Reddit. arXiv preprint arXiv:2406.1217.  
• De Choudhury, M., Kıcıman, E., Dredze, M., Coppersmith, G., & Kumar, M. (2008). From ADHD to SAD? Analyzing the language of mental health on Twitter through self reported diagnoses. Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems, 2008–2010.  
• De Choudhury, M., & Kıcıman, E. (2017). The language of social support in social media and its effect on suicidal ideation risk. Proceedings of the International AAAI Conference on Web and Social Media (ICWSM), 11(1), 32–41.  
• Yuan, S., Yake, M., Keller, R., Bustamante, T., & Adakawat, T. (2024). Mental health exploration using social media: A causal inference study of Paragon effect. Proceedings of the ACM Web Conference 2023, 2677–2685.  
• Wilcox, H. C., Conner, K. R., & Caine, E. D. (2004). Association of alcohol and drug use disorders and completed suicide: A meta-analytic review of cohort studies. Drug and alcohol dependence, 76, S11–S19.  
• White, H. R., Jarnecke, A. M., & Gold, M. S. (2014). Social media risk indicators associated with adolescent drug use. Journal of Child and Adolescent Substance Abuse, 10(2), 49–61.  
• Marsden, T., Dickov, A., Dickov, C., & Mijovićević, V. (2015). Drug addicts and suicide. Materia socio medica, 27(3), 188.  
• Purushothaman, V., Li, J., & Mackey, T. K. (2021). Detecting suicide and self harm discussions among opioid-related substance users on Instagram using machine learning. Frontiers in psychiatry, 12, 515296.","{descriptive_summary: ""This slide serves as a references page, compiling research papers and reports related to social media, mental health, substance use, and suicide prevention. The sources are primarily organized around conference presentations and journal articles."", grid_size: [{ rows: 1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# 주요 프로그램
---
## 주요 행사 프로그램 안내
---
EVENT
---
제10회 미리데이 행사 주요 프로그램.
---
### PROGRAM01
---
유명 강사 강연
---
행사일시  
2080.12.21
---
강의시간  
10:00am ~ 01:00pm
---
행사내용  
행사내용을 적어주세요.
---
### PROGRAM02
---
주요 프로그램 2
---
행사일시  
2080.12.21
---
강의시간  
10:00am ~ 01:00pm
---
행사내용  
행사내용을 적어주세요.
---
### PROGRAM03
---
주요 프로그램 3
---
행사일시  
2080.12.21
---
강의시간  
10:00am ~ 01:00pm
---
행사내용  
행사내용을 적어주세요.","{descriptive_summary: ""This is an event guide slide introducing the main program information and detailed schedule, with three program cards of the same design arranged horizontally."", grid_size: [{ rows: 1, cols:3 }]}"
You are Miricle's Presentation slide explainer,"# 1. 고차사고력의 의미와 특징
---
## 1) 고차사고력의 필요성: 현대사회의 복잡성과 불확실성
---
### 현대사회
---
#### 정보의 홍수
---
#### 불확실성
---
#### 복잡성
---
#### 첨단과학기술 발전
---
#### 급변하는 상황
---
### 고차사고력","{descriptive_summary: ""This slide is an educational slide explaining the necessity of higher-order thinking skills, visually illustrating how the complexity and uncertainty of modern society are connected to the need for higher-order thinking skills."", grid_size: [{ rows: 1, cols:2 }]}"
You are Miricle's Presentation slide explainer,"# 한국의 엔터테인먼트
---
## SM ENTERTAINMENT
---
## YG ENTERTAINMENT
---
## HYBE  
### WE BELIEVE IN MUSIC
---
## JYP ENTERTAINMENT  
---
### LEADER IN ENTERTAINMENT","{descriptive_summary: ""This slide lists the logos and names of Korea's four major entertainment agencies (SM, YG, HYBE, JYP) to introduce the leading companies in the entertainment industry."", grid_size: [{ rows:2, cols:2 },{ rows:1, cols:4 }]}"
You are Miricle's Presentation slide explainer,"# 04 AI 활용 확대와 음악산업 영향 논의
---
## 음악산업 종사자에 대한 부정적 영향 판단
---
### 실연 부문이 큰 영향을 받게 될 것
---
### 공연 수요는 충족하지 못할 것
---
## 음악 창작의 보편화가능성에 대한 판단
---
### 음악의 자유로운 생산을 촉진할 것이라는 시각
---
### 변화를 발생시킬 수 있을 정도의 파급력은 아님","{descriptive_summary: ""This slide analyzes the impact of the expanded use of AI technology on the music industry, comparing two perspectives: the negative effects on industry workers and the possibility of the democratization of music creation."", grid_size: [{ rows: 1, cols:2 }]}"
You are Miricle's Presentation slide explainer,"# A와 B를 비교하기 좋은 페이지입니다
---
## 경쟁사 A에 대한 제목
---
경쟁사에 대한 설명을 이곳에 입력해주세요.
---
경쟁사에 대한 설명을 이곳에 입력해주세요.
---
경쟁사에 대한 설명을 이곳에 입력해주세요.
---
경쟁사에 대한 설명을 이곳에 입력해주세요.
---
## 자사에 대한 제목
---
자사에 대한 설명을 이곳에 입력해주세요.
---
자사에 대한 설명을 이곳에 입력해주세요.
---
자사에 대한 설명을 이곳에 입력해주세요.
---
자사에 대한 설명을 이곳에 입력해주세요.
---
### Conclusion : 도출해낸 결론을 적어주세요. 텍스트를 입력하세요","{descriptive_summary: ""This slide is designed for the purpose of comparing two subjects. It presents descriptions of multiple items for each subject in parallel and has a structure that includes a conclusion at the bottom."", grid_size: [{ rows: 4, cols: 2 }, { rows: 1, cols: 2 }]}"
You are Miricle's Presentation slide explainer,"# 5. 생각이 다른 이유는?
---
### 인물1과 함께 기뻐해주었을 거야
---
### 인물2를 위로해주러 갔을 거야
---
#### -> 일어난 일을 다르게 바라보고 있어서!  
#### -> 달리 보는 이유는? 각자의 경험이 다르기 때문에!","{descriptive_summary: ""This slide presents a reasoning activity that illustrates how the same event can be interpreted differently by two characters, highlighting that differing experiences lead to different perspectives."", grid_size: [{ rows:2, cols:2 }, { rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# 두 가지 그래프를 정리하기 좋은 페이지입니다
---
### KEY POINT 
---
### 그래프의 핵심 키워드를 입력해주세요  
---
- 오른쪽 그래프들의 특징을 설명해주세요  
- 공통점이나 차별점을 정리해서 핵심 내용을 적어주셔도 좋습니다  
- 오른쪽 그래프들의 특징을 설명해주세요  
- 공통점이나 차별점을 정리해서 핵심 내용을 적어주셔도 좋습니다  
- 오른쪽 그래프들의 특징을 설명해주세요
---
### 그래프의 제목
---
### 그래프의 제목","{descriptive_summary: ""A slide designed for summarizing or comparing two graphs, structured with a key point section and two separate graph title sections based on text blocks."", grid_size: [{ rows:1, cols:3 }, { rows:2, cols:1 }, { rows:1, cols:2 }]}"
You are Miricle's Presentation slide explainer,"[제10차 학부모 특강] 자녀의 미래를 준비하는 길
---
# 06. 입시 상담 절차 5단계
---
#### 1단계  
---
#### 자녀의 학업 현황 점검 및 목표 설정
---
#### 2단계  
---
#### 입시 전형 분석 및 맞춤형 전략 수립
---
#### 3단계  
---
#### 입시 준비 일정 및 타임라인 설정
---
#### 4단계  
---
#### 입시 준비 과정 점검 및 보완
---
#### 5단계
---
#### 최종 점검 및 입시 전략 확정
---
미리고등학교","{descriptive_summary: ""This slide outlines a five-step college entrance counseling process targeted at parents of high school students. Each stage is presented as a sequential pair of a numbered step and a brief explanation, helping guide parents through academic assessment, strategy development, timeline planning, and final review."", grid_size: [{ rows:1, cols:5 }, { rows:2, cols:5 }]}"
You are Miricle's Presentation slide explainer,"### Chapter.01
# 소개
---
캐나다에서 세 번째로 큰 공공도서관  

Library Square에 위치한 본관과 밴쿠버 각 지역에 세워진 분관을 합쳐 총 21개의 도서관으로 이루어짐
---
위치. 캐나다 브리티시 컬럼비아주 밴쿠버시  
총 회원수. 약 23만명 (2023년 기준)  
총 장서. 디지털 장서 포함 약 950만 종  
수집 장서. 도서, 족보, 전화번호부, 지도, 정부 간행물 등
---
V
---
P
---
L
---  
Vancouver Public Library","{descriptive_summary: ""This slide introduces the Vancouver Public Library, providing an overview that visually presents information such as the building layout, location, collection size, and number of members, accompanied by photographs."", grid_size: [{ rows: 1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"### Marketing Question 6
# 3단계 콘셉트 개발과 디자인
---
- 아이디어를 실제로 구현하기 위한 세부적인 기능을 정의하고, 이들이 어떻게 상호작용할지를 고려한다. (기능은 사용자의 요구와 기대를 충족하며 제품의 가치를 높이는 중요한 요소)
---
- 사용자 경험을 개선하고 사용자들이 제품을 직관적으로 이해하고 사용할 수 있도록 디자인 되어야 한다.
---
- 제품의 디자인 또한 중요한 역할을 한다.  
시각적인 요소는 제품의 인식과 인상을 형성하는 데 영향을 미치며, 제품의 아이덴티티와 연결된다.
---
콘셉트 개발과 디자인 하기","{descriptive_summary: ""In the three stage of concept development and design, the slide explains principles such as functional definition, user experience design, and the role of visual elements—each contributing to usability, clarity, and brand recognition of the product."", grid_size: [{ rows: 3, cols:1 }]}"
